commit	valid_loss	memory_gb	status	description
32a06d9	5.281082	23.9	keep	baseline: fp32 eager, 4L d512 h32 dff1344 SwiGLU RoPE, LR3e-3 warmup2000 cosT100k, bs32; 926 steps MFU0.62% (throughput-bound, warmup never completed; COLD page-cache)
5d08e50	5.123583	23.9	keep	E1 wall-clock LR schedule (warmup 3% of budget, cosine->alpha_min at end); warmup now completes+anneals; 1501 steps (warm cache confound)
73ace0a	4.828588	29.0	keep	E2 GPU-resident train data + on-device gather (math-identical); 2169 steps (+44% throughput vs E1)
ea94336	4.017811	17.0	keep	E3 flash SDPA + int d_k fix + num_heads 32->8 (d_k64) + bf16 autocast (fp32 CE/RoPE guards); 8761 steps (4x), VRAM 29->17GB
268840b	4.000983	17.0	keep	E4 TF32 + fused AdamW + clip_grad_norm_(foreach); deleted ~60 lines custom code; 9460 steps (+8%)
04238d7	3.925687	16.2	keep	E5 torch.compile(dynamic=False); 12290 steps (+30%), MFU 8.24%
70d671f	3.901143	16.0	keep	E6 weight tying (share emb<->output proj); params 45.2M->28.8M; loss -0.025 (MFU number now undercounts real compute)
2174fcf	3.893724	16.0	keep	E7 embedding init std 0.02 (was vocab-collapsed 0.008); loss -0.007 (near noise, kept as standard+free)
eb6c020	3.855055	26.5	keep	E8 batch_size 32->64 @ LR3e-3; loss -0.039 (mostly less grad noise; tokens ~flat 209M, steps halved to 6377)
3e8bb4b	3.867072	47.4	discard	E9 batch_size 64->128 @ LR3e-3; WORSE +0.012 (only 3249 steps; LR too low for this batch) -> reset to E8
7b1870e	3.879367	26.5	discard	E10 alpha_max 3e-3->5e-3 @ batch64; WORSE +0.024 (no divergence; 3e-3 already near-optimal) -> reset to E8
3abb73f	3.865372	26.5	discard	E11 residual-scaled init 1/sqrt(2L) @ 4L; WORSE +0.010 (pre-norm already renorms; over-shrinks sublayers) -> reset to E8
ef8dd86	3.828083	27.7	keep	E12 num_layers 4->6 @ d512; loss -0.027 despite 9% fewer tokens (190M); depth beats width. params 35.1M
46ba797	3.815321	29.0	keep	E13 num_layers 6->8 @ d512; loss -0.013 (diminishing; 174M tokens). params 41.3M
6a4c0c8	3.838121	29.5	discard	E14 deeper-narrower d384/12L/dff1024/6h; WORSE +0.023 vs d512/8L (width matters; narrowing hurt) -> reset to E13
bag9u4a	3.846122	30.0	discard	E15 num_layers 8->10 @ d512; WORSE +0.031 (only 160M tokens); 8L is depth sweet spot. [NOTE: E3-E15 used forbidden torch APIs]
c2777d4	3.861917	32.8	keep	E16 COMPLIANCE FIX: hand-written attention+softmax, custom AdamW(Optimizer base), custom clip; keep bf16/compile/TF32/tying. +0.047 vs non-compliant E13 (9% fewer tokens 154.7M). NEW COMPLIANT REFERENCE.
73583f4	3.918282	32.8	discard	E17 selective weight decay (no-WD on 1D + tied emb); WORSE +0.056 (WD on tied embedding is beneficial - regularizes logit scale) -> reset to E16
f748f52	3.821486	33.3	keep	E18 QK-norm (RMSNorm on per-head Q,K before RoPE); loss -0.040; nearly erases compliance cost. new compliant best
2069c20	3.825110	33.3	keep	E19 throughput reclaim: branchless _foreach clip (no per-step sync) + eval prewarm + valid_interval 2500; +5.6M tokens (156.3M), loss +0.0036 (within noise; kept for throughput+simplicity)
458234f	3.807136	33.3	keep	E20 seed RNG (manual_seed 0) for clean A/B; same code as E19 but seed-0 draw = 3.807 (vs 3.825) => unseeded noise ~0.018. SEEDED REFERENCE. (repro re-run 3.805 => seeded noise ~0.002)
3ad5986	3.825521	33.3	discard	E21 alpha_max 3e-3->4e-3; WORSE +0.018 (3e-3 near-optimal even with QK-norm) -> reset to E20
33b38c8	3.802278	33.3	keep	E22 weight_decay 0.1->0.2; loss -0.0049 (regularization helps; consistent w/ E17). new best
a7244ba	3.809934	33.3	discard	E23 weight_decay 0.2->0.3; WORSE +0.008 (WD optimum is 0.2) -> reset to E22
